Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.762500,-124.050000,0.000000,top
"C2","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.762500,-122.050000,0.000000,top
"D1","~","D_SOD-123FL",147.200000,-104.400000,90.000000,top
"D2","PTT","LED_0805_2012Metric",130.562500,-126.100000,0.000000,top
"D3","POW","LED_0805_2012Metric",130.562500,-119.300000,0.000000,top
"D4","COS","LED_0805_2012Metric",130.562500,-122.700000,0.000000,top
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",142.220000,-131.600000,0.000000,top
"Q1","NPN","SOT-23_Handsoldering",145.900000,-108.850000,0.000000,top
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.000000,-105.000000,-90.000000,top
"R2","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.100000,-122.700000,180.000000,top
"R3","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.100000,-119.300000,180.000000,top
"R4","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.100000,-126.100000,180.000000,top
"RV1","10k","R_Potentiometer-10k-C361173",146.750000,-121.300000,-90.000000,top
"RV2","10k","R_Potentiometer-10k-C361173",137.750000,-108.600000,90.000000,top
"SW1","SW_SPDT","SW-SPDT-C49023767",152.000000,-106.797570,90.000000,top
